id, score, title
158689, 0.7994791865348816, Jerry Goldsmith
20437, 0.7288284301757812, Forrest Gump
727897, 0.7054900527000427, Gladiator (2000 film)
34107, 0.7041805386543274, The Day the Earth Stood Still
4018757, 0.6780918836593628, Forest Hill State School
682091, 0.6703552603721619, Karl G Maeser
278148, 0.6641811728477478, Ackworth West Yorkshire
1976, 0.6520000100135803, Bronze Age
846282, 0.651750385761261, To Kill a Mockingbird (film)
2755059, 0.6453448534011841, Christian culture
358741, 0.6416700482368469, Early modern period
22536, 0.6358289122581482, Rocky
241004, 0.6355969309806824, University of the Philippines Los Baños
8942, 0.6341764330863953, Martin Scorsese
53111, 0.6150273680686951, Harrisburg Illinois
781, 0.6140936017036438, Assyria
1714204, 0.6128553748130798, Role of Christianity in civilization
33642, 0.6047843098640442, Barbra Streisand
1239493, 0.59605473279953, Hockey stick controversy
1943, 0.592430591583252, Braveheart
106628, 0.5867469310760498, Computus
179967, 0.5790685415267944, Medical school
631680, 0.5789026618003845, Fairbanks Daily News Miner
110843, 0.5750877261161804, Japanese art
160006, 0.5706173777580261, Mesoamerican chronology
3120576, 0.5645011067390442, History of Native Americans in the United States
564233, 0.5643121600151062, The Godfather
892600, 0.5626831650733948, History of Tamil Nadu
5247, 0.5618678331375122, Frank Capra
487442, 0.5602813959121704, Royal Economic Society
34557, 0.5598840713500977, Jaws (film)
126708, 0.5598580837249756, Culture of Italy
131573, 0.5579026341438293, Tamils
31669, 0.5559977889060974, Annie Hall
869883, 0.5525002479553223, The Sound of Music (film)
1879453, 0.5480955243110657, Maya civilization
7869, 0.546338677406311, King Kong (1933 film)
72730, 0.5439183115959167, Beauty and the Beast (1991 film)
7587, 0.5437341928482056, James Stewart
28934, 0.5413174629211426, It s a Wonderful Life
2514, 0.5411230325698853, Chariots of Fire
1917424, 0.5380498170852661, Apocalypse Now
305252, 0.53618985414505, Astrological age
14726, 0.5321722626686096, The Shawshank Redemption
867235, 0.527579665184021, Retreat of glaciers since 1850
81385, 0.5268308520317078, Close Encounters of the Third Kind
815977, 0.5261398553848267, The Grapes of Wrath (film)
33776, 0.5257716774940491, Axial precession
